Antiviral,Monocitos susceptiveis/uL
20.200000000000003,138.35024807058247
20.3,138.48708650432067
20.400000000000002,138.62400146609235
20.5,138.7609927663368
20.6,138.8980602147808
20.700000000000003,139.0352036204391
20.8,139.1724227916132
20.9,139.30971753589188
21.0,139.4470876601506
21.099999999999998,139.5845329705514
21.2,139.72205327254258
21.3,139.85964837085837
21.4,139.99731806951908
21.5,140.13506217183115
21.6,140.27288048038568
21.7,140.41077279705982
21.8,140.5487389230155
21.9,140.68677865869975
22.0,140.8248918038442
22.1,140.96307815746582
22.2,141.10133751786537
22.3,141.23966968262852
22.400000000000002,141.3780744486248
22.5,141.51655161200858
22.6,141.65510096821765
22.7,141.79372231197368
22.8,141.93241543728266
22.900000000000002,142.07118013743434
23.0,142.21001620500164
23.1,142.34892343184177
23.200000000000003,142.48790160909493
23.3,142.62695052718496
23.400000000000002,142.7660699758195
23.5,142.90525974398903
23.6,143.0445196199682
23.700000000000003,143.1838493913141
23.8,143.32324884486772
23.900000000000002,143.46271776675363
24.0,143.60225594237895
24.099999999999998,143.74186315643482
24.2,143.88153919289567
24.3,144.02128383501915
24.4,144.1610968653464
24.5,144.30097806570228
24.6,144.44092721719483
24.7,144.58094410021607
24.8,144.72102849444144
24.9,144.86118017883007
25.0,145.00139893162518
25.1,145.14168453035384
25.2,145.28203675182718
25.3,145.42245537214038
25.4,145.5629401666732
25.5,145.70349091008958
25.6,145.84410737633777
25.7,145.98478933865135
25.8,146.12553656954816
25.900000000000002,146.26634884083154
26.0,146.40722592358992
26.1,146.54816758819675
26.200000000000003,146.68917360431155
26.3,146.8302437408793
26.400000000000002,146.97137776613138
26.5,147.11257544758485
26.6,147.25383655204345
26.700000000000003,147.39516084559796
26.8,147.53654809362567
26.900000000000002,147.67799806079094
27.0,147.81951051104616
27.1,147.961085207631
27.200000000000003,148.10272191307305
27.3,148.24442038918866
27.400000000000002,148.38618039708268
27.500000000000004,148.52800169714862
27.6,148.66988404906917
27.700000000000003,148.8118272118171
27.800000000000004,148.95383094365474
27.900000000000002,149.0958950021348
28.000000000000004,149.23801914410035
28.1,149.38020312568588
28.200000000000003,149.52244670231696
28.300000000000004,149.66474962871098
28.400000000000002,149.80711165887757
28.500000000000004,149.94953254611877
28.6,150.0920120430296
28.700000000000003,150.23454990149872
28.800000000000004,150.37714587270824
28.9,150.5197997071349
28.999999999999996,150.66251115455
29.099999999999998,150.80527996401977
29.2,150.9481058839069
29.299999999999997,151.09098866186923
29.4,151.23392804486207
29.5,151.37692377913726
29.599999999999998,151.51997561024473
29.7,151.66308328303236
29.799999999999997,151.80624654164663
29.9,151.9494651295336
30.0,152.09273878943898
30.099999999999998,152.23606726340853
30.2,152.37945029278958
30.3,152.5228876182302
30.4,152.66637897968138
30.5,152.80992411639596
30.599999999999998,152.95352276693075
30.7,153.09717466914617
30.8,153.2408795602074
30.9,153.38463717658453
31.0,153.5284472540537
31.1,153.6723095276975
31.2,153.81622373190604
31.3,153.96018960037637
31.4,154.10420686611496
31.5,154.24827526143739
31.6,154.39239451796905
31.7,154.5365643666458
31.8,154.68078453771545
31.900000000000002,154.82505476073732
32.0,154.9693747645842
32.1,155.1137442774422
32.2,155.25816302681196
32.300000000000004,155.4026307395094
32.4,155.54714714166647
32.5,155.6917119587318
32.6,155.83632491547178
32.7,155.98098573597102
32.800000000000004,156.12569414363384
32.9,156.2704498611843
33.0,156.4152526106676
33.1,156.56010211345054
33.2,156.7049980902235
33.300000000000004,156.84994026099932
33.4,156.99492834511594
33.5,157.1399620612368
33.6,157.28504112735135
33.7,157.43016526077653
33.800000000000004,157.5753341781575
33.900000000000006,157.7205475954683
34.0,157.86580522801333
34.1,158.01110679042813
34.2,158.15645199667995
34.300000000000004,158.30184056006925
34.400000000000006,158.4472721932308
34.5,158.59274660813387
34.6,158.7382635160844
34.7,158.88382262772504
34.800000000000004,159.02942365303701
34.900000000000006,159.17506630134017
35.0,159.32075028129503
35.1,159.46647530090345
35.199999999999996,159.61224106750976
35.3,159.75804728780133
35.4,159.9038936678114
35.5,160.04977991291742
35.6,160.1957057278448
35.699999999999996,160.34167081666655
35.8,160.48767488280527
35.9,160.6337176290336
36.0,160.77979875747536
36.1,160.92591796960792
36.199999999999996,161.07207496626185
