Antiviral,Linfocitos T/uL
7.5,4643.190523720599
7.6,4640.0357397592525
7.7,4636.880257077708
7.8,4633.724080637845
7.9,4630.567215410876
8.0,4627.409666377295
8.1,4624.251438526927
8.200000000000001,4621.092536858815
8.3,4617.932966381266
8.4,4614.772732111798
8.5,4611.611839077121
8.600000000000001,4608.450292313113
8.700000000000001,4605.2880968648105
8.799999999999999,4602.1252577863615
8.9,4598.961780141035
9.0,4595.797669001158
9.1,4592.632929448117
9.2,4589.467566572339
9.3,4586.301585473244
9.4,4583.134991259236
9.5,4579.9677890476805
9.6,4576.799983964873
9.700000000000001,4573.631581146022
9.8,4570.46258573521
9.9,4567.293002885379
10.0,4564.122837758316
10.100000000000001,4560.9520955246035
10.200000000000001,4557.780781363596
10.3,4554.608900463433
10.4,4551.436458020955
10.5,4548.263459241731
10.6,4545.08990933999
10.7,4541.915813538616
10.8,4538.7411770691215
10.9,4535.566005171618
11.0,4532.390303094791
11.1,4529.214076095861
11.200000000000001,4526.037329440578
11.3,4522.860068403163
11.4,4519.682298266321
11.5,4516.504024321187
11.600000000000001,4513.3252518672925
11.700000000000001,4510.145986212554
11.8,4506.966232673245
11.9,4503.785996573948
12.0,4500.605283247564
12.1,4497.424098035224
12.2,4494.24244628633
12.3,4491.06033335847
12.4,4487.877764617421
12.5,4484.69474543711
12.6,4481.511281199578
12.7,4478.32737729496
12.8,4475.14303912145
12.9,4471.958272085277
13.0,4468.773081600673
13.100000000000001,4465.58747308983
13.200000000000001,4462.401451982887
13.3,4459.215023717897
13.4,4456.028193740794
13.5,4452.840967505338
13.600000000000001,4449.653350473136
13.700000000000001,4446.465348113567
13.8,4443.27696590376
13.900000000000002,4440.088209328578
14.000000000000002,4436.899083880569
14.100000000000001,4433.7095950599405
14.200000000000001,4430.51974837454
14.3,4427.32954933979
14.400000000000002,4424.139003478693
14.499999999999998,4420.948116321789
14.6,4417.756893407087
14.7,4414.565340280098
14.799999999999999,4411.373462493739
14.899999999999999,4408.181265608338
15.0,4404.988755191593
15.1,4401.795936818528
15.2,4398.602816071472
15.299999999999999,4395.409398540024
15.4,4392.21568982101
15.5,4389.021695518443
15.6,4385.827421243526
15.7,4382.632872614576
15.8,4379.438055257006
15.9,4376.242974803293
16.0,4373.047636892947
16.1,4369.852047172458
16.2,4366.656211295277
16.3,4363.4601349217755
16.400000000000002,4360.263823719217
16.5,4357.067283361714
16.6,4353.870519530188
16.7,4350.673537912333
16.8,4347.476344202614
16.900000000000002,4344.278944102176
17.0,4341.081343318836
17.1,4337.88354756707
17.200000000000003,4334.685562567923
17.3,4331.4873940490115
17.400000000000002,4328.28904774449
17.5,4325.090529394981
17.599999999999998,4321.891844747558
17.7,4318.6929995557275
17.8,4315.493999579347
17.9,4312.29485058463
18.0,4309.095558344082
18.099999999999998,4305.896128636469
18.2,4302.696567246792
18.3,4299.496879966217
18.4,4296.2970725920795
18.5,4293.097150927818
18.6,4289.897120782935
18.7,4286.69698797298
18.8,4283.496758319476
18.9,4280.296437649904
19.0,4277.096031797677
19.1,4273.8955466020725
19.2,4270.694987908198
19.3,4267.4943615669645
19.400000000000002,4264.293673435039
19.5,4261.092929374804
19.6,4257.89213525433
19.7,4254.691296947301
19.8,4251.49042033302
19.900000000000002,4248.289511296335
20.0,4245.088575727608
20.1,4241.887619522676
20.200000000000003,4238.686648582827
20.3,4235.4856688147165
20.400000000000002,4232.284686130374
20.5,4229.083706447115
20.6,4225.882735687547
20.700000000000003,4222.681779779494
20.8,4219.48084465597
20.9,4216.279936255129
21.0,4213.079060520237
21.099999999999998,4209.878223399597
21.2,4206.677430846562
21.3,4203.47668881943
21.4,4200.276003281455
21.5,4197.075380200779
21.6,4193.87482555038
21.7,4190.674345308044
21.8,4187.473945456322
21.9,4184.273631982491
22.0,4181.073410878489
22.1,4177.873288140898
22.2,4174.673269770884
22.3,4171.4733617741595
22.400000000000002,4168.273570160936
22.5,4165.0739009458875
22.6,4161.8743601480965
22.7,4158.67495379102
22.8,4155.475687902431
22.900000000000002,4152.276568514395
23.0,4149.077601663209
23.1,4145.878793389358
