Antiviral,Monocitos susceptiveis/uL
10.4,122.16462129841143
10.5,122.25864571455386
10.6,122.35268571450007
10.7,122.4467411835282
10.8,122.54081200682036
10.9,122.63489806946315
11.0,122.72899925644796
11.1,122.82311545267143
11.200000000000001,122.9172465429361
11.3,123.0113924119511
11.4,123.10555294433205
11.5,123.19972802460215
11.600000000000001,123.29391753719271
11.700000000000001,123.38812136644299
11.8,123.48233939660156
11.9,123.57657151182637
12.0,123.67081759618527
12.1,123.76507753365648
12.2,123.8593512081295
12.3,123.95363850340503
12.4,124.04793930319585
12.5,124.14225349112752
12.6,124.2365809507386
12.7,124.33092156548093
12.8,124.4252752187208
12.9,124.51964179373917
13.0,124.61402117373193
13.100000000000001,124.70841324181089
13.200000000000001,124.80281788100378
13.3,124.89723497425538
13.4,124.99166440442751
13.5,125.08610605430022
13.600000000000001,125.18055980657151
13.700000000000001,125.2750255438581
13.8,125.36950314869648
13.900000000000002,125.46399250354297
14.000000000000002,125.5584934907744
14.100000000000001,125.65300599268826
14.200000000000001,125.74752989150436
14.3,125.84206506936343
14.400000000000002,125.9366114083298
14.499999999999998,126.03116879039065
14.6,126.12573709745689
14.7,126.2203162113633
14.799999999999999,126.31490601387002
14.899999999999999,126.40950638666186
15.0,126.5041172113502
15.1,126.59873836947212
15.2,126.6933697424922
15.299999999999999,126.78801121180211
15.4,126.88266265872198
15.5,126.97732396449999
15.6,127.07199501031388
15.7,127.16667567727083
15.8,127.26136584640857
15.9,127.35606539869511
16.0,127.45077421503014
16.1,127.54549217624525
16.2,127.64021916310413
16.3,127.734955056304
16.400000000000002,127.82969973647496
16.5,127.92445308418198
16.6,128.01921497992382
16.7,128.11398530413496
16.8,128.2087639371858
16.900000000000002,128.30355075938272
17.0,128.39834565096882
17.1,128.49314849212507
17.200000000000003,128.58795916297026
17.3,128.68277754356194
17.400000000000002,128.77760351389625
17.5,128.87243695390939
17.599999999999998,128.96727774347806
17.7,129.06212576241907
17.8,129.156980890491
17.9,129.25184300739463
18.0,129.34671199277278
18.099999999999998,129.44158772621165
18.2,129.5364700872408
18.3,129.6313589553342
18.4,129.72625420991048
18.5,129.82115573033374
18.6,129.91606339591374
18.7,130.01097708590697
18.8,130.1058966795171
18.9,130.20082205589466
19.0,130.29575309413949
19.1,130.39068967329902
19.2,130.48563167237137
19.3,130.58057897030304
19.400000000000002,130.67553144599214
19.5,130.77048897828746
19.6,130.8654514459894
19.7,130.96041872785054
19.8,131.05539070257652
19.900000000000002,131.1503672488261
20.0,131.24534824521172
20.1,131.34033357030106
20.200000000000003,131.4353231026163
20.3,131.53031672063548
20.400000000000002,131.62531430279302
20.5,131.72031572748006
20.6,131.815320873045
20.700000000000003,131.91032961779464
20.8,132.00534183999406
20.9,132.10035741786766
21.0,132.1953762295993
21.099999999999998,132.29039815333357
21.2,132.3854230671761
21.3,132.48045084919318
21.4,132.57548137741404
21.5,132.67051452983043
21.6,132.76555018439697
21.7,132.8605882190326
21.8,132.95562851162035
21.9,133.0506709400085
22.0,133.14571538201068
22.1,133.2407617154072
