Antiviral,Particulas virais/uL
42.3,250.75374246677592
42.4,250.58933855218012
42.5,250.42505256872457
42.6,250.26088442474253
42.699999999999996,250.09683402864493
42.8,249.93290128892056
42.9,249.76908611413518
43.0,249.605388412932
43.1,249.441808094032
43.2,249.2783450662331
43.3,249.11499923841023
43.4,248.95177051951575
43.5,248.7886588185793
43.6,248.62566404470684
43.7,248.4627861070814
43.8,248.3000249149635
43.9,248.13738037768945
44.0,247.97485240467333
44.1,247.8124409054047
44.2,247.65014578945042
44.3,247.48796696645366
44.4,247.32590434613348
44.5,247.16395783828662
44.6,247.0021273527849
44.7,246.84041279957606
44.800000000000004,246.67881408868544
44.9,246.5173311302127
45.0,246.35596383433534
45.1,246.19471211130508
45.2,246.03357587145024
45.300000000000004,245.87255502517505
45.4,245.71164948295927
45.5,245.55085915535807
45.6,245.3901839530024
45.7,245.229623786599
45.800000000000004,245.0691785669298
45.9,244.9088482048514
46.0,244.74863261129653
46.1,244.58853169727314
46.2,244.42854537386424
46.300000000000004,244.2686735522274
46.400000000000006,244.1089161435957
46.5,243.9492730592771
46.6,243.78974421065422
46.7,243.6303295091844
46.800000000000004,243.47102886640076
46.900000000000006,243.3118421939096
47.0,243.1527694033925
47.1,242.99381040660546
47.2,242.83496511537925
47.300000000000004,242.6762334416185
47.400000000000006,242.51761529730285
47.5,242.35911059448546
47.6,242.20071924529415
47.7,242.0424411619308
47.800000000000004,241.88427625667066
47.900000000000006,241.7262244418642
48.0,241.56828562993485
48.1,241.41045973337992
48.199999999999996,241.25274666477108
48.3,241.09514633675332
48.4,240.93765866204495
48.5,240.7802835534386
48.6,240.62302092379988
48.699999999999996,240.4658706860678
48.8,240.30883275325522
48.9,240.15190703844718
49.0,239.99509345480354
49.1,239.83839191555634
49.2,239.68180233401046
49.3,239.52532462354463
49.4,239.36895869760977
49.5,239.2127044697305
49.6,239.05656185350367
49.7,238.9005307625989
49.8,238.74461111075874
49.9,238.58880281179822
50.0,238.4331057796051
50.1,238.2775199281393
50.2,238.12204517143346
50.3,237.9666814235924
50.4,237.81142859879355
50.5,237.65628661128596
50.6,237.5012553753915
50.7,237.34633480550383
50.8,237.19152481608853
50.9,237.03682532168324
51.0,236.8822362368975
51.1,236.7277574764129
51.2,236.5733889549821
51.300000000000004,236.41913058743037
51.4,236.2649822886538
51.5,236.11094397362075
51.6,235.95701555737017
51.7,235.80319695501387
51.800000000000004,235.6494880817331
51.9,235.49588885278243
52.0,235.342399183486
52.1,235.18901898924
52.2,235.03574818551158
52.300000000000004,234.88258668783894
52.400000000000006,234.72953441183094
52.5,234.57659127316794
52.6,234.42375718760042
52.7,234.2710320709504
52.800000000000004,234.11841583910982
52.900000000000006,233.965908408042
53.0,233.81350969378016
53.1,233.66121961242885
53.2,233.5090380801622
53.300000000000004,233.35696501322528
53.400000000000006,233.20500032793322
53.5,233.05314394067167
53.6,232.90139576789616
53.7,232.7497557261329
53.800000000000004,232.59822373197724
53.900000000000006,232.4467997020953
54.0,232.29548355322277
54.1,232.14427520216577
54.2,231.99317456579934
54.300000000000004,231.8421815610685
54.400000000000006,231.69129610498874
54.50000000000001,231.54051811464458
54.6,231.38984750718964
54.7,231.2392841998479
54.800000000000004,231.08882810991213
54.900000000000006,230.93847915474478
55.00000000000001,230.78823725177728
55.1,230.6381023185107
55.2,230.48807427251523
55.300000000000004,230.33815303142978
55.400000000000006,230.1883385129627
55.50000000000001,230.03863063489078
55.60000000000001,229.88902931506055
55.7,229.73953447138663
55.800000000000004,229.5901460218532
55.900000000000006,229.44086388451225
56.00000000000001,229.29168797748508
56.10000000000001,229.1426182189613
56.2,228.99365452719917
56.300000000000004,228.84479682052574
56.400000000000006,228.69604501733568
56.50000000000001,228.54739903609286
56.60000000000001,228.39885879532892
56.7,228.25042421364358
56.800000000000004,228.10209520970523
56.900000000000006,227.95387170225024
57.00000000000001,227.80575361008258
57.10000000000001,227.6577408520747
57.2,227.50983334716707
57.300000000000004,227.36203101436695
57.400000000000006,227.21433377275088
57.50000000000001,227.0667415414621
57.60000000000001,226.91925423971173
57.699999999999996,226.77187178677872
57.8,226.6245941020094
57.9,226.47742110481738
57.99999999999999,226.33035271468424
58.099999999999994,226.1833888511581
58.199999999999996,226.03652943385515
58.3,225.88977438245834
58.4,225.74312361671812
58.5,225.59657705645188
58.599999999999994,225.45013462154364
58.699999999999996,225.3037962319452
58.8,225.1575618076749
58.9,225.01143126881772
59.0,224.86540453552576
59.099999999999994,224.71948152801764
59.199999999999996,224.57366216657897
59.3,224.42794637156166
59.4,224.2823340633842
59.5,224.13682516253178
59.599999999999994,223.99141958955627
59.699999999999996,223.84611726507472
59.8,223.70091810977206
59.9,223.55582204439835
60.0,223.4108289897705
60.099999999999994,223.26593886677117
60.199999999999996,223.1211515963492
60.3,222.9764670995193
60.4,222.83188529736265
60.5,222.68740611102572
60.6,222.54302946172103
60.699999999999996,222.39875527072684
60.8,222.25458345938745
60.9,222.11051394911226
61.0,221.96654666137647
61.1,221.8226815177208
61.199999999999996,221.67891843975187
61.3,221.53525734914112
61.4,221.39169816762578
61.5,221.2482408170075
61.6,221.10488521915454
61.7,220.96163129599944
61.8,220.8184789695397
61.9,220.67542816183862
62.0,220.53247879502354
62.1,220.3896307912878
62.2,220.2468840728886
62.3,220.10423856214888
62.4,219.96169418145524
62.5,219.81925085326026
62.6,219.67690850008037
62.7,219.53466704449673
62.8,219.3925264091547
62.9,219.25048651676474
63.0,219.1085472901012
63.1,218.9667086520033
63.2,218.82497052537389
63.3,218.6833328331805
63.4,218.5417954984547
63.5,218.40035844429198
63.6,218.2590215938522
63.7,218.1177848703591
63.800000000000004,217.97664819710047
63.9,217.83561149742724
64.0,217.6946746947555
64.1,217.5538377125642
64.2,217.4131004743958
64.3,217.27246290385713
64.4,217.1319249246177
