Antiviral,Monocitos susceptiveis/uL
8.3,115.51648885175679
8.4,115.55262310187068
8.5,115.58875018787184
8.600000000000001,115.6248701060625
8.700000000000001,115.6609828527508
8.799999999999999,115.69708842425167
8.9,115.73318681688671
9.0,115.76927802698397
9.1,115.8053620508779
9.2,115.84143888490982
9.3,115.87750852542713
9.4,115.91357096878446
9.5,115.94962621134201
9.6,115.98567424946752
9.700000000000001,116.02171507953437
9.8,116.05774869792297
9.9,116.09377510102026
10.0,116.12979428521936
10.100000000000001,116.16580624692007
10.200000000000001,116.20181098252893
10.3,116.23780848845846
10.4,116.27379876112778
10.5,116.30978179696311
10.6,116.34575759239641
10.7,116.38172614386639
10.8,116.41768744781831
10.9,116.45364150070387
11.0,116.489588298981
11.1,116.52552783911437
11.200000000000001,116.56146011757495
11.3,116.59738513084024
11.4,116.63330287539415
11.5,116.66921334772708
11.600000000000001,116.70511654433571
11.700000000000001,116.74101246172324
11.8,116.77690109639946
11.9,116.81278244488027
12.0,116.84865650368833
12.1,116.88452326935223
12.2,116.92038273840755
12.3,116.95623490739595
12.4,116.99207977286545
12.5,117.02791733137043
12.6,117.06374757947201
12.7,117.09957051373736
12.8,117.1353861307401
12.9,117.17119442706046
13.0,117.2069953992845
13.100000000000001,117.24278904400519
13.200000000000001,117.27857535782161
13.3,117.31435433733937
13.4,117.35012597917014
13.5,117.38589027993233
13.600000000000001,117.42164723625027
13.700000000000001,117.457396844755
13.8,117.49313910208352
13.900000000000002,117.52887400487971
14.000000000000002,117.56460154979322
14.100000000000001,117.60032173348024
14.200000000000001,117.63603455260352
14.3,117.6717400038317
14.400000000000002,117.70743808383988
14.499999999999998,117.74312878930976
14.6,117.77881211692889
14.7,117.81448806339134
14.799999999999999,117.85015662539746
14.899999999999999,117.88581779965395
15.0,117.92147158287375
15.1,117.95711797177592
15.2,117.99275696308605
15.299999999999999,118.02838855353586
15.4,118.0640127398633
15.5,118.09962951881255
15.6,118.13523888713449
15.7,118.17084084158533
15.8,118.20643537892863
15.9,118.24202249593334
16.0,118.27760218937503
16.1,118.31317445603554
16.2,118.34873929270265
16.3,118.38429669617071
16.400000000000002,118.41984666323998
16.5,118.45538919071738
16.6,118.4909242754152
16.7,118.52645191415306
16.8,118.56197210375592
16.900000000000002,118.59748484105519
17.0,118.63299012288877
17.1,118.66848794610014
17.200000000000003,118.70397830753956
17.3,118.73946120406318
17.400000000000002,118.77493663253331
17.5,118.81040458981846
17.599999999999998,118.84586507279342
17.7,118.88131807833894
17.8,118.91676360334223
17.9,118.95220164469632
18.0,118.98763219930048
18.099999999999998,119.02305526406056
18.2,119.05847083588765
18.3,119.09387891169976
18.4,119.1292794884209
18.5,119.16467256298071
18.6,119.20005813231562
18.7,119.2354361933678
18.8,119.27080674308556
18.9,119.30616977842324
19.0,119.34152529634164
19.1,119.37687329380722
19.2,119.41221376779298
19.3,119.44754671527753
19.400000000000002,119.4828721332459
19.5,119.51819001868922
19.6,119.55350036860418
19.7,119.58880317999439
19.8,119.62409844986887
19.900000000000002,119.65938617524296
20.0,119.69466635313796
20.1,119.72993898058117
20.200000000000003,119.76520405460647
20.3,119.80046157225296
20.400000000000002,119.83571153056621
20.5,119.8709539265979
20.6,119.9061887574056
20.700000000000003,119.94141602005294
20.8,119.9766357116096
20.9,120.01184782915128
21.0,120.04705236975956
21.099999999999998,120.08224933052222
21.2,120.11743870853289
21.3,120.15262050089133
21.4,120.18779470470311
21.5,120.22296131708005
21.6,120.25812033513978
21.7,120.29327175600594
21.8,120.32841557680815
21.9,120.36355179468198
22.0,120.39868040676906
22.1,120.43380141021694
22.2,120.46891480217904
22.3,120.50402057981474
22.400000000000002,120.53911874028954
